Level,Scope,Timestamp,Count,Avg_Mins,Med_Mins
Provincial,Asturias,2026-01-18T09:00:00Z,3,51.14333333333333,60.13
Provincial,Asturias,2026-01-18T10:00:00Z,5,7.752,1.71
Provincial,Asturias,2026-01-18T11:00:00Z,4,15.245,15.129999999999999
Provincial,Asturias,2026-01-18T12:00:00Z,10,5.393,2.835
Provincial,Asturias,2026-01-18T16:00:00Z,5,38.322,36.83
Provincial,Badajoz,2026-01-17T11:00:00Z,4,13.2775,11.785
Provincial,Badajoz,2026-01-17T12:00:00Z,3,21.85333333333333,24.02
Provincial,Badajoz,2026-01-17T13:00:00Z,1,18.6,18.6
Provincial,Badajoz,2026-01-17T20:00:00Z,5,13.904,2.34
Provincial,Badajoz,2026-01-17T21:00:00Z,4,3.5325,1.465
Provincial,Badajoz,2026-01-17T23:00:00Z,1,1.12,1.12
Provincial,Badajoz,2026-01-18T00:00:00Z,2,15.455,15.455
Provincial,Badajoz,2026-01-18T02:00:00Z,2,39.04,39.04
Provincial,Badajoz,2026-01-18T03:00:00Z,2,1.5,1.5
Provincial,Badajoz,2026-01-18T04:00:00Z,2,51.3,51.3
Provincial,Badajoz,2026-01-18T06:00:00Z,1,46.63,46.63
Provincial,Badajoz,2026-01-18T07:00:00Z,1,32.19,32.19
Provincial,Badajoz,2026-01-18T08:00:00Z,4,3.51,2.645
Provincial,Badajoz,2026-01-18T09:00:00Z,2,29.830000000000002,29.830000000000002
Provincial,Badajoz,2026-01-18T10:00:00Z,5,25.016,7.94
Provincial,Badajoz,2026-01-18T11:00:00Z,27,2.334814814814815,1.26
Provincial,Badajoz,2026-01-18T12:00:00Z,17,7.391176470588236,1.59
Provincial,Badajoz,2026-01-18T16:00:00Z,1,41.91,41.91
Provincial,Badajoz,2026-01-18T17:00:00Z,1,10.13,10.13
Provincial,Barcelona,2026-01-17T10:00:00Z,6,35.17166666666667,43.644999999999996
Provincial,Barcelona,2026-01-17T11:00:00Z,4,11.485,9.325
Provincial,Barcelona,2026-01-17T12:00:00Z,9,43.034444444444446,44.89
Provincial,Barcelona,2026-01-17T13:00:00Z,1,24.4,24.4
Provincial,Barcelona,2026-01-17T19:00:00Z,4,62.019999999999996,65.30499999999999
Provincial,Barcelona,2026-01-17T20:00:00Z,8,37.975,41.95
Provincial,Barcelona,2026-01-17T21:00:00Z,5,28.16,20.91
Provincial,Barcelona,2026-01-17T23:00:00Z,3,37.24333333333333,42.29
Provincial,Barcelona,2026-01-18T00:00:00Z,4,50.665000000000006,66.9
Provincial,Barcelona,2026-01-18T01:00:00Z,1,61.36,61.36
Provincial,Barcelona,2026-01-18T02:00:00Z,1,64.76,64.76
Provincial,Barcelona,2026-01-18T03:00:00Z,2,43.2,43.2
Provincial,Barcelona,2026-01-18T04:00:00Z,1,18.37,18.37
Provincial,Barcelona,2026-01-18T05:00:00Z,1,29.94,29.94
Provincial,Barcelona,2026-01-18T06:00:00Z,2,39.67,39.67
Provincial,Barcelona,2026-01-18T07:00:00Z,3,62.413333333333334,67.63
Provincial,Barcelona,2026-01-18T08:00:00Z,1,35.26,35.26
Provincial,Barcelona,2026-01-18T09:00:00Z,4,35.555,38.650000000000006
Provincial,Barcelona,2026-01-18T10:00:00Z,9,31.843333333333334,20.99
Provincial,Barcelona,2026-01-18T11:00:00Z,5,48.982,58.33
Provincial,Barcelona,2026-01-18T12:00:00Z,7,23.844285714285714,32.18
Provincial,Barcelona,2026-01-18T16:00:00Z,3,33.31,31.93
Provincial,Barcelona,2026-01-18T17:00:00Z,2,6.885000000000001,6.885000000000001
Provincial,Burgos,2026-01-17T10:00:00Z,5,19.164,16.89
Provincial,Burgos,2026-01-17T11:00:00Z,1,26.79,26.79
Provincial,Burgos,2026-01-17T12:00:00Z,4,9.5225,2.7
Provincial,Burgos,2026-01-17T13:00:00Z,2,22.755,22.755
Provincial,Burgos,2026-01-17T19:00:00Z,1,60.32,60.32
Provincial,Burgos,2026-01-17T20:00:00Z,3,35.05666666666667,19.41
Provincial,Burgos,2026-01-17T21:00:00Z,9,3.252222222222222,0.72
Provincial,Burgos,2026-01-17T22:00:00Z,2,46.855,46.855
Provincial,Burgos,2026-01-17T23:00:00Z,2,18.700000000000003,18.700000000000003
Provincial,Burgos,2026-01-18T00:00:00Z,3,10.94,13.12
Provincial,Burgos,2026-01-18T01:00:00Z,4,29.3775,20.015
Provincial,Burgos,2026-01-18T03:00:00Z,1,6.91,6.91
Provincial,Burgos,2026-01-18T08:00:00Z,2,64.56,64.56
Provincial,Burgos,2026-01-18T09:00:00Z,5,7.064,3.48
Provincial,Burgos,2026-01-18T10:00:00Z,2,26.150000000000002,26.150000000000002
Provincial,Burgos,2026-01-18T11:00:00Z,4,43.895,47.44
Provincial,Burgos,2026-01-18T12:00:00Z,8,7.505,3.84
Provincial,Burgos,2026-01-18T16:00:00Z,1,50.26,50.26
Provincial,Burgos,2026-01-18T17:00:00Z,3,8.363333333333333,10.09
Provincial,Cantabria,2026-01-17T10:00:00Z,3,31.873333333333335,16.1
Provincial,Cantabria,2026-01-17T11:00:00Z,13,16.82076923076923,16.89
Provincial,Cantabria,2026-01-17T12:00:00Z,8,30.92875,33.765
Provincial,Cantabria,2026-01-17T13:00:00Z,10,7.139,3.02
Provincial,Cantabria,2026-01-17T19:00:00Z,4,56.1725,63.370000000000005
Provincial,Cantabria,2026-01-17T20:00:00Z,22,11.413181818181817,2.725
Provincial,Cantabria,2026-01-17T21:00:00Z,9,3.9544444444444444,2.06
Provincial,Cantabria,2026-01-17T22:00:00Z,9,13.658888888888889,1.06
Provincial,Cantabria,2026-01-17T23:00:00Z,2,22.98,22.98
Provincial,Cantabria,2026-01-18T00:00:00Z,1,35.19,35.19
Provincial,Cantabria,2026-01-18T01:00:00Z,5,20.434,20.81
Provincial,Cantabria,2026-01-18T02:00:00Z,1,10.96,10.96
Provincial,Cantabria,2026-01-18T03:00:00Z,7,13.357142857142858,8.72
Provincial,Cantabria,2026-01-18T04:00:00Z,2,28.815,28.815
Provincial,Cantabria,2026-01-18T05:00:00Z,1,35.77,35.77
Provincial,Cantabria,2026-01-18T07:00:00Z,1,56.01,56.01
Provincial,Cantabria,2026-01-18T08:00:00Z,6,15.916666666666666,11.45
Provincial,Cantabria,2026-01-18T09:00:00Z,9,7.286666666666667,1.39
Provincial,Cantabria,2026-01-18T10:00:00Z,22,14.791818181818181,1.75
Provincial,Cantabria,2026-01-18T11:00:00Z,11,18.771818181818183,3.91
Provincial,Cantabria,2026-01-18T12:00:00Z,14,13.980714285714285,11.524999999999999
Provincial,Cantabria,2026-01-18T17:00:00Z,5,2.1559999999999997,2.23
Provincial,Castelló/Castellón,2026-01-17T11:00:00Z,2,12.535,12.535
Provincial,Castelló/Castellón,2026-01-17T12:00:00Z,1,23.62,23.62
Provincial,Castelló/Castellón,2026-01-17T13:00:00Z,2,25.055,25.055
Provincial,Castelló/Castellón,2026-01-17T19:00:00Z,1,64.56,64.56
Provincial,Castelló/Castellón,2026-01-17T20:00:00Z,4,17.82,20.064999999999998
Provincial,Castelló/Castellón,2026-01-17T21:00:00Z,13,12.722307692307693,5.69
Provincial,Castelló/Castellón,2026-01-17T22:00:00Z,6,20.816666666666666,7.495
Provincial,Castelló/Castellón,2026-01-17T23:00:00Z,2,32.88,32.88
Provincial,Castelló/Castellón,2026-01-18T00:00:00Z,7,14.125714285714286,5.24
Provincial,Castelló/Castellón,2026-01-18T01:00:00Z,4,18.09,10.27
Provincial,Castelló/Castellón,2026-01-18T02:00:00Z,3,21.400000000000002,9.94
Provincial,Castelló/Castellón,2026-01-18T03:00:00Z,1,1.19,1.19
